ID,first,last,address,city,state,zip,classification,paymentmethod,salary,hourly,commission,routing,AccountingNum,phone,SSN,DOB,startDate,endDate,title,dept,Archived,Admin
688997,Karina,Gay,998 Vitae St.,Atlanta,GA,45169,1,1,45884.99,46.92,34,30417353-K,465794-3611,801-693-2144,372-25-9228,8/16/88,04/4/19,None,Supervisor,Digital design Department,0,1
522759,TaShya,Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.50,68.13,25,36644938-8,244269-0000,801-891-1145,823-67-5474,12/26/78,10/4/14,None,Supervisor,Low Level Design Department,0,0
165966,Rooney,Alvarado,4963 Nisl. St. Ap #185,Gillette,WY,20226,3,2,34532.37,21.53,24,37324307-8,422046-0739,801-665-1261,501-97-4659,7/24/65,09/8/18,None,Employee,Statistics Department,0,0
983010,Jolene,Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23,15300058-1,828625-2906,801-347-4695,890-68-5858,1/14/99,11/4/09,None,Employee,Low Level Design Department,0,1
939825,Yoko,Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13,44553589-3,785957-2104,801-839-9316,543-74-4221,5/10/95,09/13/22,None,Supervisor,Digital design Department,0,0
379767,Jin,Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.10,82.98,33,21038669-6,654904-8491,801-927-7734,535-95-3945,6/18/87,02/15/20,None,Supervisor,Low Level Design Department,0,1
900100,Sopoline,Bullock,4963 Nisl. St. Ap #579,Idaho Falls,ID,65094,1,2,81929.49,42.76,16,46979340-0,485847-0083,801-612-1595,591-15-6165,12/28/89,11/6/09,None,Supervisor,Low Level Design Department,0,0
969829,Bruce,Raymond,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22,28504011-6,397558-4404,801-991-4914,525-75-6744,10/12/93,05/22/21,None,Supervisor,Digital design Department,0,0
283809,Hanae,Dickson,1633 Dolor Av.,Dover,DE,61813,1,2,51018.46,91.22,35,48786143-K,295643-0090,801-907-4477,547-17-8993,6/19/99,04/17/17,None,Employee,Digital design Department,0,1
224568,Jenna,Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.70,23,33878326-4,248847-6397,801-112-9933,664-89-6536,8/20/65,04/21/09,None,Supervisor,Low Level Design Department,0,1
